호기,부위,일자,시작시간,완료시간,정지시간(분),정지시간(시간),고장 원인,처리 내용,MTTR,MTBF,고장강도율,translated_고장원인,translated_처리내용,translated_부위,제품 가격 가중치,risk_impact,가동시간,risk_likehood
1호기,후면,8월18일,15:30:00,16:00:00,30,0.5,tail head jaw 하강 동작 불능,IN FEED V/T 센서측 조작 전원 배선정리 및 +24V 단선 재연결 복구,1.29,21.5,6.03,Tail head jaw lowering operation not possible,IN FEED V/T sensor side operation power wiring arrangement and +24V disconnection reconnection recovery,back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,8월08일,09:00:00,10:30:00,90,1.5,교정기 모니터 안됨.,"모니터, 모니터부 파워 12V 5A(1EA)교체, 브라켓 고정작업",1.29,21.5,6.03,Calibrator not monitored.,"Monitor, monitor power 12V 5A (1EA) replacement, bracket fixation work",back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,8월18일,11:20:00,13:20:00,120,2,교정기 테일헤드 조 하강 안됨 조사이 알루미늄 끼임,교정기 테일헤드 조 하강 안됨 조사이 알루미늄 끼임 제거작업,1.29,21.5,6.03,Straightener tailhead jaw not lowered. Aluminum is stuck.,Straightener tail head jaw not lowered. Remove jammed aluminum.,back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,8월10일,05:30:00,06:00:00,30,0.5,비디오 모니터 화면 불능,비디오 모니터 교체 및 카메라 영점 조정,1.29,21.5,6.03,Video monitor screen not working,Replacing the video monitor and adjusting the camera zero point,back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,8월08일,10:00:00,11:10:00,70,1.17,교정기-1호 CCTV MONITOR 화면 이상으로 점검,CCTV MONITOR 불량으로 교체 : JIT-17HD(TV),1.29,21.5,6.03,Calibrator-No. 1 CCTV MONITOR Check for screen abnormalities,Replaced due to defective CCTV MONITOR: JIT-17HD (TV),back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,8월15일,10:55:00,11:05:00,10,0.17,자동 운전시 GAUGE HAED UP동작후 C/V 구동 불능,GAUGE HAED UP감지 근접센서 감지 불능으로 위치조정,1.29,21.5,6.03,"During automatic operation, C/V operation is not possible after GAUGE HAED UP operation.",GAUGE HEAD UP detection Position adjustment due to inability to detect proximity sensor,back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,8월26일,06:50:00,07:00:00,10,0.17,절단작업중 제품에 끼어 톱날 멈춤 및 후진 동작 불능,후진완료 L/S 수동 감지후 클램프 UP 시킨후 끼임 해제 및 EOCR TRIP 복구후 정상 후진 됨,1.29,21.5,6.03,The saw blade stops and cannot move backwards due to being caught in the product during cutting work.,"After manual detection of reverse completion L/S, clamp UP, release jamming, and recovery of EOCR TRIP, normal backward movement is achieved.",back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,2016-09-28 00:00:00,18:26:00,20:30:00,124,2.07,푸셔 파손,푸셔 파손 절단후 맞춤작업,2.07,209,0.99,pusher broken,Custom work after cutting the pusher damage,back side,0.15,2.05701929,209,1
1호기,후면,2016-10-05 00:00:00,06:10:00,07:05:00,55,0.92,IN FEED V/T C/V 구동 불능,IN FEED V/T C/V 인버터(SV015IG5A-4) 교체,1.29,43.7,2.96,IN FEED V/T C/V operation not possible,IN FEED V/T C/V Inverter (SV015IG5A-4) Replacement,back side,0.15,1.94001929,262,5.995423341
1호기,후면,2016-10-31 00:00:00,22:00:00,22:15:00,15,0.25,쫄대C/V 카운터 센서 파손 교체 요청,포토센서 (BUP-50S) 교체,1.29,43.7,2.96,Request for replacement of damaged Jjoldae C/V counter sensor,Photo sensor (BUP-50S) replacement,back side,0.15,1.94001929,262,5.995423341
1호기,후면,2014-09-03 00:00:00,01:30:00,03:49:00,139,2.32,교정기 테일헤드 전후진 불능,끼임 부위 교정 작업 후 정상작동,24.1,81,1.43,Corrector tail head cannot be moved forward or backward,Normal operation after correcting the stuck area,back side,0.15,5.36151929,243.07,3.000864198
1호기,후면,2014-09-11 00:00:00,19:35:00,19:45:00,10,0.17,절단기 클럼프 상승 불능,PRDL18-14DN 1EA교체후 정상작동,24.1,81,1.43,Cutter clump cannot be raised,Normal operation after PRDL18-14DN 1EA replacement,back side,0.15,5.36151929,243.07,3.000864198
1호기,후면,2014-10-15 00:00:00,22:30:00,22:40:00,10,0.17,쫄대 배출 이상으로 점검,센서 파손으로 BUP-50S교체,30.49,104.3,1.89,Check for abnormal discharge of jjoldae,BUP-50S replaced due to sensor damage,back side,0.15,6.32001929,312.97,3.000671141
1호기,후면,2014-11-04 00:00:00,00:00:00,01:30:00,50,0.83,HYD유닛 압력 생성 불능,"유압유 온도 높음, 유압 블록 체크 및 
유압유 쿨러 냉각 상태 확인",42.54,154.7,0.35,HYD unit pressure cannot be generated,"High hydraulic oil temperature, check hydraulic block and
Check the cooling status of the hydraulic oil cooler",back side,0.15,8.12751929,309.49,2.000581771
2호기,압출기,1월29일,16:20:00,19:25:00,185,3.08,메인 사이드 풀렌지 누유,푸렌지 오링 교체작업,3.57,47.1,7.58,Main side pull range leak,Bluenge O-ring replacement work,extruder,0.35,5.324711677,329.71,7.000212314
2호기,압출기,2월11일,19:00:00,20:30:00,90,1.5,트렌스 베어 가이드 휨,레일 교정 작업,1.5,276.6,0.54,Trans Bear Guide Bending,Rail straightening work,extruder,0.35,4.600211677,276.56,0.999855387
2호기,압출기,3월2일,08:20:00,09:00:00,40,0.67,빌레트 챠저 후진 不,출력 릴레이 교체 후 작업,2.32,43.1,5.39,Billet charger not reversing,Operations after replacing the output relay,extruder,0.35,4.887211677,387.89,8.999767981
2호기,압출기,4월1일,10:20:00,11:10:00,50,0.83,풀러 오피 판넬 파손,부주 위로 인한 파손 (교체),1.31,59.8,2.19,Fuller office panel damage,Damage due to carelessness (replacement),extruder,0.35,4.533711677,418.37,6.996153846
2호기,압출기,4월6일,03:05:00,06:00:00,175,2.92,금형 크럼프 체결 볼트 ,전단 불리 후 교체 작업,1.31,59.8,2.19,Mold Crump Fastening Bolts,Replacement work after shear failure,extruder,0.35,4.533711677,418.37,6.996153846
2호기,압출기,4월29일,16:00:00,17:30:00,90,1.5,빌레트 로다 2번 동작 不,하강 릴레이 교체후 정상,1.31,59.8,2.19,Billet loader 2 operation not working,Normal after replacing the lowering relay,extruder,0.35,4.533711677,418.37,6.996153846
2호기,압출기,5월11일,13:30:00,15:10:00,100,1.67,다이클럼프 작동 不,슬라이드 분해 후 사상 작업,1.99,44.7,4.46,Dieclump not working,Finishing work after disassembling the slide,extruder,0.35,4.771711677,357.35,7.994407159
2호기,압출기,5월11일,22:31:00,02:45:00,254,4.23,다이클럼프 작동 不,실린다 분 해후 제조립,1.99,44.7,4.46,Dieclump not working,Cylinder disassembly and reassembly,extruder,0.35,4.771711677,357.35,7.994407159
2호기,압출기,5월12일,10:48:00,12:30:00,102,1.7,다이클럼프 작동 不,다이클럼프 슬라이드 손상 사상,1.99,44.7,4.46,Dieclump not working,Dieclump slide damage,extruder,0.35,4.771711677,357.35,7.994407159
2호기,압출기,5월12일,03:45:00,05:00:00,75,1.25,다이슬라이드 동작 不,거리 센서 조정 작업,1.99,44.7,4.46,Die slide does not work,Distance sensor adjustment operation,extruder,0.35,4.771711677,357.35,7.994407159
2호기,압출기,5월16일,19:00:00,19:20:00,20,0.33,빌레트1번 로다클럼프,감지 센서 단선 교체,1.99,44.7,4.46,Billet No. 1 Rhoda Klump,Detection sensor disconnection replacement,extruder,0.35,4.771711677,357.35,7.994407159
2호기,압출기,5월24일,08:30:00,09:50:00,80,1.33,메인샤 작동 불,샤 로크실린다 솔 뱁브 단선 조인,1.99,44.7,4.46,mainsha working light,Shah Rocsilinda Sol Babb Disconnection Join,extruder,0.35,4.771711677,357.35,7.994407159
2호기,압출기,7월25일,14:00:00,14:15:00,15,0.25,터치 전원 차단,과온으로 잠시 전원 차단,0.72,132.1,0.55,touch power off,Temporarily shuts off due to overtemperature,extruder,0.35,4.327211677,396.38,3.000605602
2호기,압출기,8월20일,02:00:00,02:20:00,5,0.08,메인 램 전진 不,전진 솔레노이드 출력 릴레이 교체,0.87,60,1.45,Main ram not moving forward,Replace forward solenoid output relay,extruder,0.35,4.379711677,420,7
2호기,압출기,8월20일,02:05:00,03:06:00,61,1.02,메인 펌프 작동 안됨,서보 밸브 필터 교체 ,0.87,60,1.45,Main pump not working,Servo valve filter replacement,extruder,0.35,4.379711677,420,7
2호기,압출기,8월23일,22:20:00,22:40:00,20,0.33,차져 빌레트 감지 센서 오작동,포토센서 교체후 정상 작동,0.87,60,1.45,Charger billet detection sensor malfunction,Normal operation after photo sensor replacement,extruder,0.35,4.379711677,420,7
2호기,압출기,9월1일,14:10:00,14:40:00,30,0.5,터치 스크린 화면 不,셀렉타 스위치 교체 및 배선수정,0.74,72.5,1.02,No touch screen screen,Selecta switch replacement and wiring modification,extruder,0.35,4.334211677,362.68,5.002482759
2호기,압출기,9월21일,14:00:00,14:40:00,40,0.67,빌레트 로다 클럼프,에어 배관 닛뿔 전단 교체,0.74,72.5,1.02,Villette Rhoda Klump,Replacement of the front end of the air pipe,extruder,0.35,4.334211677,362.68,5.002482759
2호기,압출기,2016-09-01 00:00:00,14:10:00,14:40:00,30,0.5,OP 압출기 터치 스크린 화면 불량 ,셀렉터S/W 설치배선(문제 발생시 셀렉터S/W로 전환 요함),1.7,25.9,6.56,OP extruder touch screen screen defective,Selector S/W installation wiring (requires switching to selector S/W if a problem occurs),extruder,0.35,4.670211677,362.68,14.0030888
2호기,압출기,2016-09-02 00:00:00,02:10:00,05:30:00,200,3.33,압출 2호기 램전진/정지 반복 되면서 이상 소음 발생됨,L/S 배선 절연 불량으로 테이핑후 복구,1.7,25.9,6.56,Extrusion unit 2 generates abnormal noise as ram advances/stops repeatedly,Repair after taping due to poor L/S wiring insulation,extruder,0.35,4.670211677,362.68,14.0030888
2호기,압출기,9/29,14:40:00,15:00:00,20,0.33,다이카세트 전/후진 감지 포토센서(BUP-30S) 파손으로 교체 요청,포토센서(BUP-30S)  파손 교체,1.7,25.9,6.56,Replacement request due to damage to Dai cassette forward/backward detection photo sensor (BUP-30S),Replace damaged photo sensor (BUP-30S),extruder,0.35,4.670211677,362.68,14.0030888
2호기,압출기,2016-10-27 00:00:00,04:40:00,05:30:00,50,0.83,트렌스 베어 유도판 파손,트렌스 베어 유도판 파손 용접 수리,1.05,35.5,2.95,Transformer guide plate damaged,Transformer guide plate damage welding repair,extruder,0.35,4.442711677,426.4,12.01126761
2호기,압출기,2016-10-04 00:00:00,20:30:00,23:20:00,170,2.83,다이슬라이드 전/후진 동작 불능 및 전체동작 느려짐,MAIN PUMP#2(경전각 동작 불능) 서보밸브 교체,1.05,35.5,2.95,Dieslide forward/backward motion is disabled and overall motion is slowed down,MAIN PUMP#2 (tilt angle does not work) Replace servo valve,extruder,0.35,4.442711677,426.4,12.01126761
2호기,압출기,2016-10-13 00:00:00,03:00:00,03:15:00,15,0.25,보조로더 다운 불능으로 점검요청,DOWN SOL 릴레이 교체.,1.05,35.5,2.95,Inspection request due to inability to download auxiliary loader,Replace DOWN SOL relay.,extruder,0.35,4.442711677,426.4,12.01126761
2호기,압출기,2016-10-21 00:00:00,01:45:00,03:56:00,131,2.18,"압출 2호기 전체 동작 속도 이상 및 버프전에서 
멈춰 버프동작 불능","메인펌프#1 경전각 이상으로 서보 밸브 교체
(45/75B) I1(12002) 휴즈 융단 교체 
쏠밸브 코일 소손 및 스폴 고착으로 교체
M/DD3W9CNTW  110/60 V/Hz  .0.4Amps(파커)
",1.05,35.5,2.95,"Above the overall operating speed of extrusion unit 2 and before buffing
It stops and the buff doesn't work.","Main pump #1 servo valve replaced due to tilt angle abnormality
(45/75B) I1(12002) Fuse Carpet Replacement
Solvalve coil replaced due to burnout and spool sticking
M/DD3W9CNTW 110/60 V/Hz .0.4Amps (Parker)",extruder,0.35,4.442711677,426.4,12.01126761
2호기,압출기,2016-10-07 00:00:00,06:55:00,08:30:00,95,1.58,콘테이너 실린더 보호 판 파손,콘테이너 실린더 보호 판 파손 용접 수리,1.05,35.5,2.95,Container cylinder protection plate broken,Container cylinder protection plate breakage welding repair,extruder,0.35,4.442711677,426.4,12.01126761
2호기,압출기,2016-11-24 00:00:00,05:08:00,05:55:00,47,0.78,NO2 로더 클램프 동작 불능으로 점검요청.,DA75 리드S/W 교체작업.,0.54,205.7,0.26,Request for inspection due to NO2 loader clamp not working.,DA75 lead S/W replacement work.,extruder,0.35,4.264211677,411.4,2
2호기,압출기,2014-08-19 00:00:00,05:20:00,06:40:00,80,1.33,콘테이너 압력 이상,압력 조정,11.92,90.6,0.95,Container pressure abnormality,pressure adjustment,extruder,0.35,8.247211677,362.43,4.000331126
2호기,압출기,2014-09-03 00:00:00,22:20:00,23:51:00,91,1.52,로그샤 메인실린더 누유,실린더 오링 교체작업,10.48,75.4,1.51,Logsha main cylinder leak,Cylinder O-ring replacement work,extruder,0.35,7.743211677,377.15,5.00198939
2호기,압출기,2014-09-18 00:00:00,08:30:00,09:50:00,80,1.33,이젝트 배관 누유,누유부위 용접,10.48,75.4,1.51,Eject pipe leak,Welding of leaks,extruder,0.35,7.743211677,377.15,5.00198939
2호기,압출기,2014-09-23 00:00:00,01:30:00,02:00:00,30,0.5,크래들실린더 니쁠파손,니쁠 교체 및 용접작업,10.48,75.4,1.51,Cradle cylinder nipple damaged,Nipple replacement and welding work,extruder,0.35,7.743211677,377.15,5.00198939
2호기,압출기,2014-09-24 00:00:00,12:00:00,12:30:00,30,0.5,로그샤 메인실린더 누유,로드 부싱 오링 교체작업,10.48,75.4,1.51,Logsha main cylinder leak,Rod bushing o-ring replacement work,extruder,0.35,7.743211677,377.15,5.00198939
2호기,압출기,2014-10-11 00:00:00,01:30:00,03:00:00,90,1.5,챠져판 고정볼트 파손,볼트 교체 및 탭 용접작업,7.58,52.8,1.92,Charger plate fixing bolt damaged,Bolt replacement and tab welding work,extruder,0.35,6.728211677,422.67,8.005113636
2호기,압출기,2014-10-30 00:00:00,04:50:00,05:40:00,50,0.83,차져 동작 불능,이상 유무 확인중 정상동작(작업자 미숙 예상),7.58,52.8,1.92,Charger not working,Normal operation while checking for abnormalities (expected inexperience of operator),extruder,0.35,6.728211677,422.67,8.005113636
2호기,압출기,2014-11-25 00:00:00,18:15:00,18:25:00,10,0.17,빌레트 로더 및 메인램,"로더 클램프 리드 스위치 고정볼트 불량
교체후 재고정",9.35,74.3,1.92,Billet loader and main ram,"Loader clamp reed switch fixing bolt defective
Restored after replacement",extruder,0.35,7.347711677,371.66,5.002153432
2호기,압출기,2014-11-26 00:00:00,08:35:00,08:53:00,18,0.3,"로더 감지불량으로 메인램
전진동작 불능","로더 클램프 리드 스위치 배선 연결부위
접촉 불량 재연결",9.35,74.3,1.92,"Main RAM due to loader detection failure
Forward movement is impossible","Loader clamp reed switch wiring connection area
Reconnect poor contact",extruder,0.35,7.347711677,371.66,5.002153432
2호기,가열로,1월4일,08:40:00,15:20:00,400,6.67,log shar압력 s/w 에러,압력 스위치 구입 후 교체,3.57,47.1,7.58,log shar pressure s/w error,Replace pressure switch after purchase,heating furnace,0.25,3.803365483,329.71,7.000212314
2호기,가열로,1월9일,15:45:00,01:30:00,585,9.75,빌레트 가열로 온도 가열로 빌레트,녹음 레일 및 일부 교체작업,3.57,47.1,7.58,Billet Heating Furnace Temperature Heating Furnace Billet,Recording rail and some replacement work,heating furnace,0.25,3.803365483,329.71,7.000212314
2호기,가열로,3월1일,02:00:00,12:30:00,630,10.5,로그샤 크레들축 용접,부분 크랙 으로 분해 후 용접,2.32,43.1,5.39,Logsha Cradle Shaft Welding,Welded after disassembling with partial cracks,heating furnace,0.25,3.490865483,387.89,8.999767981
2호기,가열로,3월1일,14:35:00,15:05:00,30,0.5,빌레트 푸샤 전진 不,작업자 조작 므숙 으로 발생,2.32,43.1,5.39,Villette Pusha not moving forward,Occurs due to operator manipulation,heating furnace,0.25,3.490865483,387.89,8.999767981
2호기,가열로,3월2일,03:05:00,03:43:00,38,0.63,테일헤드 오일누유,유압 호스 교체 작업,2.32,43.1,5.39,Tail head oil leak,Hydraulic hose replacement work,heating furnace,0.25,3.490865483,387.89,8.999767981
2호기,가열로,3월8일,13:30:00,14:30:00,60,1,프르브 4번 온도 이상,프르 그램 수정 작업,2.32,43.1,5.39,Probe 4 temperature abnormality,program modification operations,heating furnace,0.25,3.490865483,387.89,8.999767981
2호기,가열로,3월11일,05:30:00,06:15:00,45,0.75,가열로 출구 도어,솔레노이드 밸브 교체작업,2.32,43.1,5.39,furnace outlet door,Solenoid valve replacement work,heating furnace,0.25,3.490865483,387.89,8.999767981
2호기,가열로,4월4일,16:30:00,17:50:00,80,1.33,로그샤 크레들 실린다,로드 전 단 교체작업,1.31,59.8,2.19,Logsha Cradle Cylinder,Replacement work before loading,heating furnace,0.25,3.238365483,418.37,6.996153846
2호기,가열로,4월4일,10:00:00,11:00:00,60,1,로그샤 동작에러,프레샤 압력 저하로 인한 에러,1.31,59.8,2.19,Logsha operation error,Error due to low presser pressure,heating furnace,0.25,3.238365483,418.37,6.996153846
2호기,가열로,4월9일,17:05:00,18:10:00,65,1.08,로그샤 푸시백 실린다,커버 오링 교체 작업,1.31,59.8,2.19,Logsha pushback is carried,Cover O-ring replacement work,heating furnace,0.25,3.238365483,418.37,6.996153846
2호기,가열로,4월9일,23:40:00,00:10:00,30,0.5,로그샤 푸시백 실린다,누유 오링 교체,1.31,59.8,2.19,Logsha pushback is carried,Leaking O-ring replacement,heating furnace,0.25,3.238365483,418.37,6.996153846
2호기,가열로,5월26일,12:30:00,17:30:00,300,5,푸시백 실린다 로드,부시 가공 교체및 씰 교체,1.99,44.7,4.46,Pushback Silinda Road,Bush machining replacement and seal replacement,heating furnace,0.25,3.408365483,357.35,7.994407159
2호기,가열로,6월23일,02:00:00,02:15:00,15,0.25,오퍼레타 터치 화면,전원 on/off반복 후 정상 복귀,1.49,114.4,1.3,Operatta touch screen,Return to normal after repeating power on/off,heating furnace,0.25,3.283365483,457.66,4.000524476
2호기,가열로,7월8일,15:00:00,16:10:00,70,1.17,빌레트 가열로 푸샤,안되어 PLC 로 확 인후 복구,0.72,132.1,0.55,Billet Heating Furnace Pusha,"If it does not work, check it with PLC and restore it.",heating furnace,0.25,3.090865483,396.38,3.000605602
2호기,가열로,8월10일,16:45:00,20:00:00,195,3.25,hot jat fan 모타 코일,소손 예비품 모타로 교체,0.87,60,1.45,hot jat fan motor coil,Replacement of damaged spare parts with motor,heating furnace,0.25,3.128365483,420,7
2호기,가열로,8월29일,10:00:00,10:30:00,30,0.5,ZONE#1 온도 이상,"애자,외통 교체 작업",0.87,60,1.45,ZONE#1 temperature abnormality,Insulator and external cylinder replacement work,heating furnace,0.25,3.128365483,420,7
2호기,가열로,8월18일,09:51:00,10:30:00,39,0.65,ZONE #2 메인 버너 점화불능,외통 변형에 의해 열전대 온도 감지 불량으로 외통교체,0.87,60,1.45,ZONE #2 Main burner not igniting,External tube replacement due to defective thermocouple temperature detection due to external tube deformation,heating furnace,0.25,3.128365483,420,7
2호기,가열로,9월29일,08:45:00,09:45:00,60,1,로그샤 푸시백 실린다,누유 로드 페킹 교체 작업,0.74,72.5,1.02,Logsha pushback is carried,Leaking rod peking replacement work,heating furnace,0.25,3.095865483,362.68,5.002482759
