Equipment Number,Part,Date,Start Time,Finish Time,Stopped Time(min),Stopped Time(hour),Cause of Failure,Failure Handling,MTTR,MTBF,Failure Strength Ratio,Price Weighting by Part,Risk Likelihood,Risk Impact
Unit 1,extruder,08/05,11:00:00,17:10:00,370,6.17,Oil leakage phenomenon caused by hydraulic pipe cracks,Installed after welding processing (outsourcing),31.39,98.4,2.77,0.35,3.001321138,15.06171168
Unit 1,extruder,08/29,10:50:00,12:30:00,100,1.67,Coolant pump replacement work,Coolant Pump Replacement,31.39,98.4,2.77,0.35,3.001321138,15.06171168
Unit 1,extruder,09/15,14:45:00,15:45:00,60,1,Main pump automatic manual on disabled,"As a result of the PLC monitor, emergency stop contact is activated.",24.1,81,1.43,0.35,3.000864198,12.51021168
Unit 1,extruder,10/29,20:00:00,02:30:00,330,5.5,Eject backward operation not possible,"reducer motor coil replacement,
After replacing the inverter and checking bare cable wiring, reconnect the spare wire.",30.49,104.3,1.89,0.35,3.000671141,14.74671168
Unit 1,heating furnace,02/12,01:00:00,02:08:00,68,1.13,Pusha encoder bearing wear,Temporary handling of cable management,1,88.4,1.13,0.25,2.791402715,3.160865483
Unit 1,heating furnace,02/12,04:48:00,05:40:00,52,0.87,Disconnection due to cable deterioration,Cable connection operation,1,88.4,1.13,0.25,2.791402715,3.160865483
Unit 1,heating furnace,03/03,11:30:00,12:30:00,60,1,Billet transfer chain shear,Partial replacement after disassembling the sheared chain,1.16,50.8,2.29,0.25,3.998228346,3.200865483
Unit 1,heating furnace,03/14,15:16:00,16:00:00,44,0.73,Probe thermocouple error,Calibration operations (No. 5 and 7),1.16,50.8,2.29,0.25,3.998228346,3.200865483
Unit 1,heating furnace,03/28,10:00:00,12:15:00,135,2.25,Billet heating furnace does not start,Replacement of short-circuited communication cable,1.16,50.8,2.29,0.25,3.998228346,3.200865483
Unit 1,heating furnace,04/04,08:40:00,09:30:00,50,0.83,Probe temperature detection error,Probe sensor calibration tasks,2.19,82.8,2.65,0.25,3.000483092,3.458365483
Unit 1,heating furnace,08/18,14:33:00,15:20:00,47,0.78,ZONE#1 Pilot ignition disabled,Pilot fuel efficiency adjustment,1.29,21.5,6.03,0.25,12.98604651,3.233365483
Unit 1,heating furnace,08/16,04:38:00,08:30:00,232,3.87,Top clamp cylinder leak,Packing replacement,1.29,21.5,6.03,0.25,12.98604651,3.233365483
Unit 1,heating furnace,09/28,18:26:00,20:30:00,124,2.07,Pusha chain attache wear,Temporarily manufactured and assembled,2.07,209,0.99,0.25,1,3.428365483
Unit 1,heating furnace,10/18,23:15:00,23:30:00,15,0.25,Billet heating furnace (unit 1) touch screen button not pressed,Touch screen calibration zero point adjustment,1.29,43.7,2.96,0.25,5.995423341,3.233365483
Unit 1,heating furnace,08/26,14:20:00,14:40:00,20,0.33,Return detection sensor disabled,PR replaced with 18-14DN not detectable,31.39,98.4,2.77,0.25,3.001321138,10.75836548
Unit 1,heating furnace,10/21,19:10:00,19:25:00,15,0.25,Billet detection sensor damaged,BJ10M-TDT used only once,30.49,104.3,1.89,0.25,3.000671141,10.53336548
Unit 1,heating furnace,11/04,04:05:00,04:15:00,15,0.25,Eject supply sensor not detected,Supply Proximity Sensor PRL18-8DN Replacement,42.54,154.7,0.35,0.25,2.000581771,13.54586548
Unit 1,fuller,06/03,11:05:00,12:30:00,85,1.42,Fuller No. 2 chain fixing bolt,Bolt replacement and adjustment work after removing the shear,1.6,124.5,1.28,0.09,1.999919679,1.191911574
Unit 1,back side,08/04,11:30:00,11:50:00,20,0.33,"Hi-temp C/V can be driven manually, but cannot be operated automatically.",Product detection photo sensor replacement,1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/19,07:50:00,08:00:00,10,0.17,Power head up/down S/W damage,LVL-2M-1 replacement,1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/18,15:30:00,16:00:00,30,0.5,Tail head jaw lowering operation not possible,IN FEED V/T sensor side operation power wiring arrangement and +24V disconnection reconnection recovery,1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/08,09:00:00,10:30:00,90,1.5,Calibrator not monitored.,"Monitor, monitor power 12V 5A (1EA) replacement, bracket fixation work",1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/18,11:20:00,13:20:00,120,2,Straightener tailhead jaw not lowered. Aluminum is stuck.,Straightener tail head jaw not lowered. Remove jammed aluminum.,1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/10,05:30:00,06:00:00,30,0.5,Video monitor screen not working,Replacing the video monitor and adjusting the camera zero point,1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/08,10:00:00,11:10:00,70,1.17,Calibrator-No. 1 CCTV MONITOR Check for screen abnormalities,Replaced due to defective CCTV MONITOR: JIT-17HD (TV),1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/15,10:55:00,11:05:00,10,0.17,"During automatic operation, C/V operation is not possible after GAUGE HAED UP operation.",GAUGE HEAD UP detection Position adjustment due to inability to detect proximity sensor,1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,08/26,06:50:00,07:00:00,10,0.17,The saw blade stops and cannot move backwards due to being caught in the product during cutting work.,"After manual detection of reverse completion L/S, clamp UP, release jamming, and recovery of EOCR TRIP, normal backward movement is achieved.",1.29,21.5,6.03,0.15,12.98604651,1.94001929
Unit 1,back side,09/28,18:26:00,20:30:00,124,2.07,pusher broken,Custom work after cutting the pusher damage,2.07,209,0.99,0.15,1,2.05701929
Unit 1,back side,10/05,06:10:00,07:05:00,55,0.92,IN FEED V/T C/V operation not possible,IN FEED V/T C/V Inverter (SV015IG5A-4) Replacement,1.29,43.7,2.96,0.15,5.995423341,1.94001929
Unit 1,back side,10/31,22:00:00,22:15:00,15,0.25,Request for replacement of damaged Jjoldae C/V counter sensor,Photo sensor (BUP-50S) replacement,1.29,43.7,2.96,0.15,5.995423341,1.94001929
Unit 1,back side,09/03,01:30:00,03:49:00,139,2.32,Corrector tail head cannot be moved forward or backward,Normal operation after correcting the stuck area,24.1,81,1.43,0.15,3.000864198,5.36151929
Unit 1,back side,09/11,19:35:00,19:45:00,10,0.17,Cutter clump cannot be raised,Normal operation after PRDL18-14DN 1EA replacement,24.1,81,1.43,0.15,3.000864198,5.36151929
Unit 1,back side,10/15,22:30:00,22:40:00,10,0.17,Check for abnormal discharge of jjoldae,BUP-50S replaced due to sensor damage,30.49,104.3,1.89,0.15,3.000671141,6.32001929
Unit 1,back side,11/04,00:00:00,01:30:00,50,0.83,HYD unit pressure cannot be generated,"High hydraulic oil temperature, check hydraulic block and
Check the cooling status of the hydraulic oil cooler",42.54,154.7,0.35,0.15,2.000581771,8.12751929
Unit 2,extruder,01/29,16:20:00,19:25:00,185,3.08,Main side pull range leak,Bluenge O-ring replacement work,3.57,47.1,7.58,0.35,7.000212314,5.324711677
Unit 2,extruder,02/11,19:00:00,20:30:00,90,1.5,Trans Bear Guide Bending,Rail straightening work,1.5,276.6,0.54,0.35,0.999855387,4.600211677
Unit 2,extruder,03/02,08:20:00,09:00:00,40,0.67,Billet charger not reversing,Operations after replacing the output relay,2.32,43.1,5.39,0.35,8.999767981,4.887211677
Unit 2,extruder,04/01,10:20:00,11:10:00,50,0.83,Fuller office panel damage,Damage due to carelessness (replacement),1.31,59.8,2.19,0.35,6.996153846,4.533711677
Unit 2,extruder,04/06,03:05:00,06:00:00,175,2.92,Mold Crump Fastening Bolts,Replacement work after shear failure,1.31,59.8,2.19,0.35,6.996153846,4.533711677
Unit 2,extruder,04/29,16:00:00,17:30:00,90,1.5,Billet loader 2 operation not working,Normal after replacing the lowering relay,1.31,59.8,2.19,0.35,6.996153846,4.533711677
Unit 2,extruder,05/11,13:30:00,15:10:00,100,1.67,Dieclump not working,Finishing work after disassembling the slide,1.99,44.7,4.46,0.35,7.994407159,4.771711677
Unit 2,extruder,05/11,22:31:00,02:45:00,254,4.23,Dieclump not working,Cylinder disassembly and reassembly,1.99,44.7,4.46,0.35,7.994407159,4.771711677
Unit 2,extruder,05/12,10:48:00,12:30:00,102,1.7,Dieclump not working,Dieclump slide damage,1.99,44.7,4.46,0.35,7.994407159,4.771711677
Unit 2,extruder,05/12,03:45:00,05:00:00,75,1.25,Die slide does not work,Distance sensor adjustment operation,1.99,44.7,4.46,0.35,7.994407159,4.771711677
Unit 2,extruder,05/16,19:00:00,19:20:00,20,0.33,Billet No. 1 Rhoda Klump,Detection sensor disconnection replacement,1.99,44.7,4.46,0.35,7.994407159,4.771711677
Unit 2,extruder,05/24,08:30:00,09:50:00,80,1.33,mainsha working light,Shah Rocsilinda Sol Babb Disconnection Join,1.99,44.7,4.46,0.35,7.994407159,4.771711677
Unit 2,extruder,07/25,14:00:00,14:15:00,15,0.25,touch power off,Temporarily shuts off due to overtemperature,0.72,132.1,0.55,0.35,3.000605602,4.327211677
Unit 2,extruder,08/20,02:00:00,02:20:00,5,0.08,Main ram not moving forward,Replace forward solenoid output relay,0.87,60,1.45,0.35,7,4.379711677
Unit 2,extruder,08/20,02:05:00,03:06:00,61,1.02,Main pump not working,Servo valve filter replacement,0.87,60,1.45,0.35,7,4.379711677
Unit 2,extruder,08/23,22:20:00,22:40:00,20,0.33,Charger billet detection sensor malfunction,Normal operation after photo sensor replacement,0.87,60,1.45,0.35,7,4.379711677
Unit 2,extruder,09/01,14:10:00,14:40:00,30,0.5,No touch screen screen,Selecta switch replacement and wiring modification,0.74,72.5,1.02,0.35,5.002482759,4.334211677
Unit 2,extruder,09/21,14:00:00,14:40:00,40,0.67,Villette Rhoda Klump,Replacement of the front end of the air pipe,0.74,72.5,1.02,0.35,5.002482759,4.334211677
Unit 2,extruder,09/01,14:10:00,14:40:00,30,0.5,OP extruder touch screen screen defective,Selector S/W installation wiring (requires switching to selector S/W if a problem occurs),1.7,25.9,6.56,0.35,14.0030888,4.670211677
Unit 2,extruder,09/02,02:10:00,05:30:00,200,3.33,Extrusion unit 2 generates abnormal noise as ram advances/stops repeatedly,Repair after taping due to poor L/S wiring insulation,1.7,25.9,6.56,0.35,14.0030888,4.670211677
Unit 2,extruder,,14:40:00,15:00:00,20,0.33,Replacement request due to damage to Dai cassette forward/backward detection photo sensor (BUP-30S),Replace damaged photo sensor (BUP-30S),1.7,25.9,6.56,0.35,14.0030888,4.670211677
Unit 2,extruder,10/27,04:40:00,05:30:00,50,0.83,Transformer guide plate damaged,Transformer guide plate damage welding repair,1.05,35.5,2.95,0.35,12.01126761,4.442711677
Unit 2,extruder,10/04,20:30:00,23:20:00,170,2.83,Dieslide forward/backward motion is disabled and overall motion is slowed down,MAIN PUMP#2 (tilt angle does not work) Replace servo valve,1.05,35.5,2.95,0.35,12.01126761,4.442711677
Unit 2,extruder,10/13,03:00:00,03:15:00,15,0.25,Inspection request due to inability to download auxiliary loader,Replace DOWN SOL relay.,1.05,35.5,2.95,0.35,12.01126761,4.442711677
Unit 2,extruder,10/21,01:45:00,03:56:00,131,2.18,"Above the overall operating speed of extrusion unit 2 and before buffing
It stops and the buff doesn't work.","Main pump #1 servo valve replaced due to tilt angle abnormality
(45/75B) I1(12002) Fuse Carpet Replacement
Solvalve coil replaced due to burnout and spool sticking
M/DD3W9CNTW 110/60 V/Hz .0.4Amps (Parker)",1.05,35.5,2.95,0.35,12.01126761,4.442711677
Unit 2,extruder,10/07,06:55:00,08:30:00,95,1.58,Container cylinder protection plate broken,Container cylinder protection plate breakage welding repair,1.05,35.5,2.95,0.35,12.01126761,4.442711677
Unit 2,extruder,11/24,05:08:00,05:55:00,47,0.78,Request for inspection due to NO2 loader clamp not working.,DA75 lead S/W replacement work.,0.54,205.7,0.26,0.35,2,4.264211677
Unit 2,extruder,08/19,05:20:00,06:40:00,80,1.33,Container pressure abnormality,pressure adjustment,11.92,90.6,0.95,0.35,4.000331126,8.247211677
Unit 2,extruder,09/03,22:20:00,23:51:00,91,1.52,Logsha main cylinder leak,Cylinder O-ring replacement work,10.48,75.4,1.51,0.35,5.00198939,7.743211677
Unit 2,extruder,09/18,08:30:00,09:50:00,80,1.33,Eject pipe leak,Welding of leaks,10.48,75.4,1.51,0.35,5.00198939,7.743211677
Unit 2,extruder,09/23,01:30:00,02:00:00,30,0.5,Cradle cylinder nipple damaged,Nipple replacement and welding work,10.48,75.4,1.51,0.35,5.00198939,7.743211677
Unit 2,extruder,09/24,12:00:00,12:30:00,30,0.5,Logsha main cylinder leak,Rod bushing o-ring replacement work,10.48,75.4,1.51,0.35,5.00198939,7.743211677
Unit 2,extruder,10/11,01:30:00,03:00:00,90,1.5,Charger plate fixing bolt damaged,Bolt replacement and tab welding work,7.58,52.8,1.92,0.35,8.005113636,6.728211677
Unit 2,extruder,10/30,04:50:00,05:40:00,50,0.83,Charger not working,Normal operation while checking for abnormalities (expected inexperience of operator),7.58,52.8,1.92,0.35,8.005113636,6.728211677
Unit 2,extruder,11/25,18:15:00,18:25:00,10,0.17,Billet loader and main ram,"Loader clamp reed switch fixing bolt defective
Restored after replacement",9.35,74.3,1.92,0.35,5.002153432,7.347711677
Unit 2,extruder,11/26,08:35:00,08:53:00,18,0.3,"Main RAM due to loader detection failure
Forward movement is impossible","Loader clamp reed switch wiring connection area
Reconnect poor contact",9.35,74.3,1.92,0.35,5.002153432,7.347711677
Unit 2,heating furnace,01/04,08:40:00,15:20:00,400,6.67,log shar pressure s/w error,Replace pressure switch after purchase,3.57,47.1,7.58,0.25,7.000212314,3.803365483
Unit 2,heating furnace,01/09,15:45:00,01:30:00,585,9.75,Billet Heating Furnace Temperature Heating Furnace Billet,Recording rail and some replacement work,3.57,47.1,7.58,0.25,7.000212314,3.803365483
Unit 2,heating furnace,03/01,02:00:00,12:30:00,630,10.5,Logsha Cradle Shaft Welding,Welded after disassembling with partial cracks,2.32,43.1,5.39,0.25,8.999767981,3.490865483
Unit 2,heating furnace,03/01,14:35:00,15:05:00,30,0.5,Villette Pusha not moving forward,Occurs due to operator manipulation,2.32,43.1,5.39,0.25,8.999767981,3.490865483
Unit 2,heating furnace,03/02,03:05:00,03:43:00,38,0.63,Tail head oil leak,Hydraulic hose replacement work,2.32,43.1,5.39,0.25,8.999767981,3.490865483
Unit 2,heating furnace,03/08,13:30:00,14:30:00,60,1,Probe 4 temperature abnormality,program modification operations,2.32,43.1,5.39,0.25,8.999767981,3.490865483
Unit 2,heating furnace,03/11,05:30:00,06:15:00,45,0.75,furnace outlet door,Solenoid valve replacement work,2.32,43.1,5.39,0.25,8.999767981,3.490865483
Unit 2,heating furnace,04/04,16:30:00,17:50:00,80,1.33,Logsha Cradle Cylinder,Replacement work before loading,1.31,59.8,2.19,0.25,6.996153846,3.238365483
Unit 2,heating furnace,04/04,10:00:00,11:00:00,60,1,Logsha operation error,Error due to low presser pressure,1.31,59.8,2.19,0.25,6.996153846,3.238365483
Unit 2,heating furnace,04/09,17:05:00,18:10:00,65,1.08,Logsha pushback is carried,Cover O-ring replacement work,1.31,59.8,2.19,0.25,6.996153846,3.238365483
Unit 2,heating furnace,04/09,23:40:00,00:10:00,30,0.5,Logsha pushback is carried,Leaking O-ring replacement,1.31,59.8,2.19,0.25,6.996153846,3.238365483
Unit 2,heating furnace,05/26,12:30:00,17:30:00,300,5,Pushback Silinda Road,Bush machining replacement and seal replacement,1.99,44.7,4.46,0.25,7.994407159,3.408365483
Unit 2,heating furnace,06/23,02:00:00,02:15:00,15,0.25,Operatta touch screen,Return to normal after repeating power on/off,1.49,114.4,1.3,0.25,4.000524476,3.283365483
Unit 2,heating furnace,07/08,15:00:00,16:10:00,70,1.17,Billet Heating Furnace Pusha,"If it does not work, check it with PLC and restore it.",0.72,132.1,0.55,0.25,3.000605602,3.090865483
Unit 2,heating furnace,08/10,16:45:00,20:00:00,195,3.25,hot jat fan motor coil,Replacement of damaged spare parts with motor,0.87,60,1.45,0.25,7,3.128365483
Unit 2,heating furnace,08/29,10:00:00,10:30:00,30,0.5,ZONE#1 temperature abnormality,Insulator and external cylinder replacement work,0.87,60,1.45,0.25,7,3.128365483
Unit 2,heating furnace,08/18,09:51:00,10:30:00,39,0.65,ZONE #2 Main burner not igniting,External tube replacement due to defective thermocouple temperature detection due to external tube deformation,0.87,60,1.45,0.25,7,3.128365483
Unit 2,heating furnace,09/29,08:45:00,09:45:00,60,1,Logsha pushback is carried,Leaking rod peking replacement work,0.74,72.5,1.02,0.25,5.002482759,3.095865483
Unit 2,heating furnace,09/02,17:15:00,19:10:00,115,1.92,ZONE#3 M/M open/close operation not possible,ZONE#3 M/M disassembly and repair (reassembly after soldering terminals),1.7,25.9,6.56,0.25,14.0030888,3.335865483
Unit 2,heating furnace,09/29,08:45:00,09:45:00,60,1,Pushbeck road side oil leak,Pushback rod side leaking bushing and cover O-ring replacement,1.7,25.9,6.56,0.25,14.0030888,3.335865483
Unit 2,heating furnace,10/22,12:30:00,13:30:00,60,1,Pushbeck cylinder cover leak,Pushback cylinder cover leakage O-ring replacement,1.05,35.5,2.95,0.25,12.01126761,3.173365483
Unit 2,heating furnace,08/05,13:30:00,14:40:00,70,1.17,Billet temperature cannot rise,"Flame shooting phenomenon due to opening of HOTJET FAN M/M
Normal recovery after power restart",11.92,90.6,0.95,0.25,4.000331126,5.890865483
Unit 2,heating furnace,11/20,17:20:00,18:20:00,20,0.33,Billet detection sensor not working,"Fiber Optic Sensor Replacement
(FD-620-10, FTL-M26, FTH-410)",9.35,74.3,1.92,0.25,5.002153432,5.248365483
Unit 2,fuller,01/07,20:30:00,23:30:00,180,3,Hydraulic pump motor burnout,Normal operation after motor replacement,3.57,47.1,7.58,0.09,7.000212314,1.369211574
Unit 2,fuller,03/08,23:40:00,02:14:00,154,2.57,Puller wire rope part,Replacement work with spare parts,2.32,43.1,5.39,0.09,8.999767981,1.256711574
Unit 2,fuller,03/09,00:00:00,02:30:00,150,2.5,Fuller distance value is wrong,Distance value correction operation,2.32,43.1,5.39,0.09,8.999767981,1.256711574
Unit 2,fuller,05/26,18:25:00,18:50:00,25,0.42,Puller wire clip release,Creep tightening operation,1.99,44.7,4.46,0.09,7.994407159,1.227011574
Unit 2,fuller,07/04,18:30:00,19:15:00,45,0.75,Puller Wire Rope Shear,Replacement work with spare parts,0.72,132.1,0.55,0.09,3.000605602,1.112711574
Unit 2,fuller,09/24,13:30:00,14:12:00,42,0.7,puller wire rope burnout,Spare wire rope replacement work,0.74,72.5,1.02,0.09,5.002482759,1.114511574
Unit 2,fuller,09/24,12:30:00,14:12:00,102,1.7,Puller wire burst,Fulla wire burst replacement,1.7,25.9,6.56,0.09,14.0030888,1.200911574
Unit 2,fuller,11/24,22:22:00,22:40:00,18,0.3,Request for inspection due to inability to move forward/reverse puller.,Normal operation after release due to brake controller OC alarm.,0.54,205.7,0.26,0.09,2,1.096511574
Unit 2,fuller,10/11,05:10:00,05:50:00,20,0.33,wheel bearing damage,OP side bearing replacement work,7.58,52.8,1.92,0.09,8.005113636,1.730111574
Unit 2,fuller,10/29,01:10:00,02:08:00,58,0.97,motor overload,Motor replacement work,7.58,52.8,1.92,0.09,8.005113636,1.730111574
Unit 2,fuller,11/11,04:30:00,09:45:00,315,5.25,Tray malfunction,"Replace gear pump after inspection (4D, 7 l/min)",9.35,74.3,1.92,0.09,5.002153432,1.889411574
Unit 2,fuller,11/27,10:30:00,11:35:00,65,1.08,"Fuller hydraulic pump condenser defective
motor coil replacement","1.Same phenomenon when starting after replacement due to defective condenser
2. Motor coil deteriorates and operates normally after replacement)",9.35,74.3,1.92,0.09,5.002153432,1.889411574
Unit 2,Hasso,06/11,14:55:00,19:07:00,252,4.2,HOT SAW BEARING,Replace after purchase damaged,1.49,114.4,1.3,0.1,4.000524476,1.313346193
Unit 2,Hasso,09/23,13:30:00,15:20:00,110,1.83,Motor base broken,Motor replacement and hydraulic hose replacement work,10.48,75.4,1.51,0.1,5.00198939,2.212346193
Unit 2,Hasso,10/21,22:32:00,00:30:00,118,1.97,Clamp cylinder rod leakage,실린더 로드 교체 및 LM베어링 2EA교체,7.58,52.8,1.92,0.1,8.005113636,1.922346193
Unit 2,back side,01/11,14:10:00,14:20:00,10,0.17,end saw cp trip,Normal operation after on/off half-turn operation,3.57,47.1,7.58,0.15,7.000212314,2.28201929
Unit 2,back side,01/16,21:55:00,00:00:00,125,2.08,Tailhead jaw not lowered,Monitor safety contact defective. Work with temporary comb.,3.57,47.1,7.58,0.15,7.000212314,2.28201929
Unit 2,back side,08/31,03:00:00,03:15:00,15,0.25,Jjoldae C/V counter sensor damaged,BUP-30S replacement,0.87,60,1.45,0.15,7,1.87701929
Unit 2,back side,09/21,01:30:00,02:20:00,50,0.83,Calibrator monitor abnormalities,Normal after fixing the camera terminal,0.74,72.5,1.02,0.15,5.002482759,1.85751929
Unit 2,back side,09/21,14:00:00,14:40:00,40,0.67,Damaged rod clamp piping nitbullet,Roda Clamp Piping Nibul Damaged Replacement,1.7,25.9,6.56,0.15,14.0030888,2.00151929
Unit 2,back side,09/03,08:30:00,17:30:00,540,9,Calibrator power head main cylinder leak,Calibrator power head main cylinder oil leak packing replacement,1.7,25.9,6.56,0.15,14.0030888,2.00151929
Unit 2,back side,09/03,17:30:00,21:00:00,210,3.5,P.H repair work.,Check sensor and encoder attachment and test run,1.7,25.9,6.56,0.15,14.0030888,2.00151929
Unit 2,back side,09/21,01:30:00,02:20:00,50,0.83,Request for inspection due to monitor error,"After fixing the terminal on the camera side, it operates normally.",1.7,25.9,6.56,0.15,14.0030888,2.00151929
Unit 2,back side,09/27,09:45:00,10:00:00,15,0.25,Cutting panel PB S/W intermittently fails to operate,PB S/W (KH-513-2EA) replacement,1.7,25.9,6.56,0.15,14.0030888,2.00151929
Unit 2,back side,09/27,09:30:00,09:40:00,10,0.17,Scrapdump DOWN does not work,AIR S/V DOWN Reconnection due to poor wiring contact,1.7,25.9,6.56,0.15,14.0030888,2.00151929
Unit 2,back side,09/02,09:50:00,10:10:00,20,0.33,GAUGE HEAD forward/backward operation not possible,AIR S/V(SIV411-IP) replacement,1.7,25.9,6.56,0.15,14.0030888,2.00151929
Unit 2,back side,10/19,12:30:00,13:30:00,60,1,Hot saw cylinder and support rod damaged,"Hot saw cylinder, support rod and plate
replacement work",1.05,35.5,2.95,0.15,12.01126761,1.90401929
Unit 2,back side,10/12,11:00:00,11:20:00,20,0.33,Hot saw clamp air cylinder damaged,"Hot saw clamp air cylinder damaged
welding repair",1.05,35.5,2.95,0.15,12.01126761,1.90401929
Unit 2,back side,10/13,17:00:00,17:15:00,15,0.25,"HOTSAW CLAMP Continues to descend and rise in UP state
repeated","HOTSAW CLAMP UP/DOWN AIR S/V(SF5101-
IP) The same phenomenon continues after replacement (cylinder side P/K defective)
(Request repair work on machine tool)",1.05,35.5,2.95,0.15,12.01126761,1.90401929
Unit 2,back side,10/13,16:00:00,16:15:00,15,0.25,"CYCLE START, STOP PB S/W not being pressed","CYCLE START,STOP PB S/W(KH-513,30Φ
-2EA) Replacement",1.05,35.5,2.95,0.15,12.01126761,1.90401929
Unit 2,back side,10/27,15:10:00,16:15:00,65,1.08,Pushback cylinder front cover leaking,"Pushback cylinder front cover leaking
O-ring replacement",1.05,35.5,2.95,0.15,12.01126761,1.90401929
Unit 2,back side,10/14,12:30:00,13:30:00,60,1,Hot saw clamp cylinder and plate damage,Hot saw clamp cylinder welding and plate replacement,1.05,35.5,2.95,0.15,12.01126761,1.90401929
Unit 2,back side,08/19,01:30:00,02:10:00,40,0.67,Inspection request due to OP monitor failure,monitor replacement,11.92,90.6,0.95,0.15,4.000331126,3.53451929
Unit 2,back side,08/30,10:33:00,10:49:00,16,0.27,Tail head jaw cylinder cover leaking,O-ring replacement work,11.92,90.6,0.95,0.15,4.000331126,3.53451929
Unit 2,back side,10/04,06:50:00,07:18:00,20,0.33,Unable to stop Steca running,Low speed/stop sensor position adjustment,7.58,52.8,1.92,0.15,8.005113636,2.88351929
Unit 2,back side,10/06,10:00:00,12:00:00,40,0.67,Collisions due to frequent departure of stop sensors,"Brake remains on,
Inverter AXA terminal deleted from PLC program",7.58,52.8,1.92,0.15,8.005113636,2.88351929
Unit 2,etc,06/30,18:00:00,18:30:00,30,0.5,Logistics empty pallet empty c/v,Muta burnout spare parts replacement work,1.49,114.4,1.3,0.06,4.000524476,0.788007716
Unit 2,etc,09/12,09:15:00,09:30:00,15,0.25,"Billet cleaner clamp #2 UP detection lead S/W detection
Automatic operation is not possible due to defects","The cylinder rod was bent and the lead S/W was adjusted, but it improved.
Unable to adjust due to change in position (cylinder rod bending)
repair request)",1.7,25.9,6.56,0.06,14.0030888,0.800607716
Unit 2,etc,10/16,05:30:00,06:40:00,90,1.5,Jib crane cable disconnection,Replacing current collector 3EA and reconnecting cables,7.58,52.8,1.92,0.06,8.005113636,1.153407716
Unit 3,extruder,01/29,14:21:00,17:30:00,189,3.2,Main Sha Butt Locker Cable Bear,Temporary measures for damaged fixing bracket,10.49,68.1,1,0.35,5.891776799,7.746711677
Unit 3,extruder,02/17,13:50:00,15:40:00,110,1.8,Main 2 pump servo valve,Replacement and zero point adjustment due to oil contamination,0.81,39,2.08,0.35,8.001025641,4.358711677
Unit 3,extruder,02/18,18:30:00,19:20:00,50,0.8,Above the 2nd main pump,"After blocking, use only 1-3 times",0.81,39,2.08,0.35,8.001025641,4.358711677
Unit 3,extruder,02/18,17:08:00,17:30:00,22,0.4,No. 2 servo valve potentiometer,cable check,0.81,39,2.08,0.35,8.001025641,4.358711677
Unit 3,extruder,02/19,08:40:00,09:14:00,34,0.6,No. 2 main pump error,Speed ​​cannot be adjusted,0.81,39,2.08,0.35,8.001025641,4.358711677
